User ID,Persona,Title,Category,Device,Timestamp,Watch %
user_1,Entertainment Junkie,Measuring Mass: The Last Artefact,Documentaries,TV,2024-11-26 17:07:00,50
user_1,Entertainment Junkie,Hoop Dreams,Documentaries,TV,2025-02-12 17:07:00,25
user_1,Entertainment Junkie,Saturday Kitchen - 09/10/2021,Food,Laptop,2025-03-04 17:07:00,25
user_1,Entertainment Junkie,Secrets of an ISIS Smartphone,Documentaries,Laptop,2024-10-28 17:07:00,100
user_1,Entertainment Junkie,Holiday Affair,Films,Laptop,2024-09-14 17:07:00,25
user_1,Entertainment Junkie,Saturday Kitchen - 26/02/2022,Food,TV,2024-07-21 17:07:00,25
user_1,Entertainment Junkie,Firestarter: The Story of Bangarra,Documentaries,TV,2024-04-13 17:07:00,25
user_1,Entertainment Junkie,Hey Duggee - Top of the Pups: Twelve Days of Christmas,Signed,Laptop,2024-08-12 17:07:00,25
user_1,Entertainment Junkie,Ar An Sliabh,Documentaries,Smartphone,2025-03-20 17:07:00,75
user_1,Entertainment Junkie,"Stacey Dooley - Stacey on the Frontline: Girls, Guns and Isis",Documentaries,Smartphone,2024-04-21 17:07:00,25
user_1,Entertainment Junkie,The Joe Wicks Podcast - Melanie C: Everyone is Good Enough,Entertainment,TV,2024-04-26 17:07:00,95
user_1,Entertainment Junkie,"HARDtalk - Professor Mariana Mazzucato - Economist, University College London",From the Archives,Smartphone,2024-08-27 17:07:00,25
user_1,Entertainment Junkie,The Notebook,Films,Smartphone,2024-10-31 17:07:00,100
user_1,Entertainment Junkie,EastEnders 2010 - 07/12/2009,From the Archives,Laptop,2025-03-02 17:07:00,25
user_1,Entertainment Junkie,The Secret Science of Sewage - Audio Described,Science & Nature,TV,2024-07-30 17:07:00,10
user_1,Entertainment Junkie,Arena - Delia Derbyshire: The Myths and the Legendary Tapes,Documentaries,Laptop,2024-09-25 17:07:00,0
user_1,Entertainment Junkie,Question Time - 2021: 29/04/2021 - Signed,Signed,TV,2024-06-04 17:07:00,25
user_1,Entertainment Junkie,Statue Wars: One Summer in Bristol,Documentaries,Smartphone,2024-04-21 17:07:00,100
user_1,Entertainment Junkie,Gareth Thomas: HIV and Me,Documentaries,TV,2025-01-19 17:07:00,100
user_1,Entertainment Junkie,Panorama - Manchester Arena Bombing: Saffie’s Story - Signed,Signed,TV,2024-06-12 17:07:00,50
user_1,Entertainment Junkie,Call the Midwife - Christmas Special 2017,From the Archives,TV,2024-12-17 17:07:00,75
user_1,Entertainment Junkie,Gold Town,Documentaries,Laptop,2024-04-03 17:07:00,50
user_1,Entertainment Junkie,R,Documentaries,TV,2025-04-02 17:07:00,0
